Betriebs-Nr,Betriebsname,Einleitungsart,Anhang der AbwV,Nr. 4. BImSchV,IED-Nr.,Gemeinde,Zust. Behörde,Arbeitsstätten-Nr.,District,Annex_Num,utm_east,utm_north,anfallstellen_json,max_abwasservolumen_d,max_abwasservolumen_h,gesamtabwasser_a
358540,976. Wasserschneideanlage,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Düren,Kreis Düren,,D_ren,40.0,323268,5627678,"[{""nr"": 1, ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
22225,Anker Gebr. Schoeller GmbH & Co KG,"industrielle/gewerbliche Direkteinleitung
Indirekteinleitung","38 Textilherstellung, Textilveredlung
31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung","10.23
1.2.3.1",0,Düren,BR Köln,0918509,D_ren,38.0,321452,5632513,"[{""nr"": 1, ""bezeichnung"": ""NW->E2"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 2, ""bezeichnung"": ""NW->E3"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 3, ""bezeichnung"": ""NW->E4"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 4, ""bezeichnung"": ""NW->E5"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 5, ""bezeichnung"": ""Kesselwasser"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung"", ""max_d"": null, ""max_h"": null, ""max_a"": ""4850""}, {""nr"": 6, ""bezeichnung"": ""NW->E9"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 7, ""bezeichnung"": ""NW->E8"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 8, ""bezeichnung"": ""NW->E7"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 9, ""bezeichnung"": ""NW->E6"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 10, ""bezeichnung"": ""KÜWA E8"", ""abwasserbeschaffenheit"": ""Kühlwasser"", ""anhang"": ""31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung"", ""max_d"": null, ""max_h"": ""240"", ""max_a"": null}, {""nr"": 11, ""bezeichnung"": ""Textilherstellung"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""38 Textilherstellung, Textilveredlung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 12, ""bezeichnung"": ""Textilherstellung"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""38 Textilherstellung, Textilveredlung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 13, ""bezeichnung"": ""Textilherstellung"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""38 Textilherstellung, Textilveredlung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 14, ""bezeichnung"": ""NW -> E1"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 15, ""bezeichnung"": ""NW -> E19"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 16, ""bezeichnung"": ""NW->E10"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 17, ""bezeichnung"": ""NW->E11"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 18, ""bezeichnung"": ""NW->E12"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 19, ""bezeichnung"": ""NW->E13"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 20, ""bezeichnung"": ""NW->E14"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 21, ""bezeichnung"": ""NW->E16"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 22, ""bezeichnung"": ""NW->E17"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 23, ""bezeichnung"": ""NW->E18"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 24, ""bezeichnung"": ""NW->E20"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 25, ""bezeichnung"": ""NW->E21"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 26, ""bezeichnung"": ""NW->E22"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,240,4850
358154,Autolackiererei,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Linnich,Kreis Düren,,D_ren,40.0,306952,5647850,"[{""nr"": 1, ""bezeichnung"": ""Nassschleifen von Kfz"", ""abwasserbeschaffenheit"": ""sonstiges Abwasser (verändertes Wasser)"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
358203,Autolackiererei,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Düren,Kreis Düren,,D_ren,40.0,325125,5632043,"[{""nr"": 1, ""bezeichnung"": ""Naßschleiferei"", ""abwasserbeschaffenheit"": ""sonstiges Abwasser (verändertes Wasser)"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
2225874,Consumer Medical Care GmbH,Indirekteinleitung,"38 Textilherstellung, Textilveredlung
31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung","5.1.1.2
10.10.1","0
6.2",Düren,Kreis Düren,9989278,D_ren,38.0,320910,5634150,"[{""nr"": 1, ""bezeichnung"": ""Dampferzeugung"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 2, ""bezeichnung"": ""Textilveredelung"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""38 Textilherstellung, Textilveredlung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 3, ""bezeichnung"": ""Wasseraufbereitung"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
358196,Eloxal u. Hartanodisation,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Jülich,Kreis Düren,,D_ren,40.0,315173,5644115,"[{""nr"": 1, ""bezeichnung"": ""Eloxal u. Hartanodisation"", ""abwasserbeschaffenheit"": ""sonstiges Abwasser (verändertes Wasser)"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
2222532,Enaspol GmbH,Indirekteinleitung,22 Chemische Industrie,4.1.11,4.1.k,Düren,BR Köln,9015435,D_ren,22.0,323028,5627578,"[{""nr"": 1, ""bezeichnung"": ""Waschrohstoffherstellung"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""22 Chemische Industrie"", ""max_d"": null, ""max_h"": null, ""max_a"": ""24217""}]",,,24217
358418,Entfettung von Metallteilen,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Jülich,Kreis Düren,,D_ren,40.0,314608,5642968,"[{""nr"": 1, ""bezeichnung"": ""Entfettung von Metallteilen"", ""abwasserbeschaffenheit"": ""sonstiges Abwasser (verändertes Wasser)"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
358480,Gleitschleiferei,industrielle/gewerbliche Direkteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Kreuzau,Kreis Düren,,D_ren,40.0,324917,5626533,"[{""nr"": 1, ""bezeichnung"": ""Gleitschleiferei"", ""abwasserbeschaffenheit"": ""sonstiges Abwasser (verändertes Wasser)"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
35859,Kfz-Lackierung,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Niederzier,Kreis Düren,,D_ren,40.0,319490,5638050,"[{""nr"": 1, ""bezeichnung"": ""Naßschleiferei"", ""abwasserbeschaffenheit"": ""sonstiges Abwasser (verändertes Wasser)"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
