Betriebs-Nr,Betriebsname,Einleitungsart,Anhang der AbwV,Nr. 4. BImSchV,IED-Nr.,Gemeinde,Zust. Behörde,Arbeitsstätten-Nr.,District,Annex_Num
358540,976. Wasserschneideanlage,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Düren,Kreis Düren,,D_ren,40.0
22225,Anker Gebr. Schoeller GmbH & Co KG,"industrielle/gewerbliche Direkteinleitung
Indirekteinleitung","38 Textilherstellung, Textilveredlung
31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung","10.23
1.2.3.1",0,Düren,BR Köln,0918509,D_ren,38.0
358154,Autolackiererei,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Linnich,Kreis Düren,,D_ren,40.0
358203,Autolackiererei,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Düren,Kreis Düren,,D_ren,40.0
2225874,Consumer Medical Care GmbH,Indirekteinleitung,"38 Textilherstellung, Textilveredlung
31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung","5.1.1.2
10.10.1","0
6.2",Düren,Kreis Düren,9989278,D_ren,38.0
358196,Eloxal u. Hartanodisation,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Jülich,Kreis Düren,,D_ren,40.0
2222532,Enaspol GmbH,Indirekteinleitung,22 Chemische Industrie,4.1.11,4.1.k,Düren,BR Köln,9015435,D_ren,22.0
358418,Entfettung von Metallteilen,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Jülich,Kreis Düren,,D_ren,40.0
358480,Gleitschleiferei,industrielle/gewerbliche Direkteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Kreuzau,Kreis Düren,,D_ren,40.0
35859,Kfz-Lackierung,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Niederzier,Kreis Düren,,D_ren,40.0
358424,Oberflächenbehandlung v. Metallen,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Düren,Kreis Düren,,D_ren,40.0
2222989,OTEC Oberflächentechnik GmbH & Co. KG,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",3.10.1,2.6,Düren,BR Köln,9000909,D_ren,40.0
22211,Papierfabrik Zerkall / Renker & Söhne GmbH & Co KG,industrielle/gewerbliche Direkteinleitung,"28 Herstellung von Papier, Karton oder Pappe",,,Hürtgenwald,Kreis Düren,0918499,D_ren,28.0
22232251,Sumteq GmbH,Indirekteinleitung,"22 Chemische Industrie
31.2 Nr. 2.2 Anforderungen an das Abwasser aus Wasseraufbereitung",,,Düren,BR Köln,,D_ren,22.0
358481,Teilereinigung,industrielle/gewerbliche Direkteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Linnich,Kreis Düren,,D_ren,40.0
358558,Teppichreinigung,,55 Wäschereien,,,Jülich,Kreis Düren,,D_ren,55.0
22228,Thomas Josef Heimbach GmbH & Co. KG,"industrielle/gewerbliche Direkteinleitung
Indirekteinleitung","38 Textilherstellung, Textilveredlung
31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung
49 Mineralölhaltiges Abwasser","5.11
5.2.2
10.23
1.2.3.1",0,Düren,BR Köln,"0918532
9996212",D_ren,38.0
358587,Waschplatz f. Teppiche und Matten,Indirekteinleitung,55 Wäschereien,,,Düren,Kreis Düren,,D_ren,55.0
2222170,Arcus Edelstahl GmbH,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",3.10.2,0,Weilerswist,BR Köln,0409908,Euskirchen,40.0
22223774,Deutsche Mechatronics GmbH,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Mechernich,Kreis Euskirchen,0883508,Euskirchen,40.0
22232182,Moog e.K. - Wäscherei,Indirekteinleitung,55 Wäschereien,,,Schleiden,Kreis Euskirchen,,Euskirchen,55.0
22223752,Schöller Werk GmbH & Co.KG,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Hellenthal,Kreis Euskirchen,0481874,Euskirchen,40.0
22229883,Chukyo Europe,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Hückelhoven,Kreis Heinsberg,,Heinsberg,40.0
22230014,E & K Leiterplatten GmbH,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Heinsberg,Kreis Heinsberg,,Heinsberg,40.0
22229978,HAZET-Werk,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Heinsberg,Kreis Heinsberg,,Heinsberg,40.0
22229843,Jansen Edelstahl GmbH,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,0,Wassenberg,Kreis Heinsberg,0349103,Heinsberg,40.0
22229888,KSK Industrielackierung,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Geilenkirchen,Kreis Heinsberg,,Heinsberg,40.0
22231403,LBBZ - NRW GmbH,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Geilenkirchen,Kreis Heinsberg,9018981,Heinsberg,40.0
22229929,Metallverarbeitung Schlafhorst-Saurer,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",1.2.3.1,0,Übach-Palenberg,Kreis Heinsberg,0113051,Heinsberg,40.0
2222002,Niro Technik GmbH,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",3.10.1,"0
2.6",Hückelhoven,BR Köln,0362589,Heinsberg,40.0
2221986,Over Eloxal GmbH / Over Beschichtung GmbH,"industrielle/gewerbliche Direkteinleitung
Indirekteinleitung","40 Metallbearbeitung, Metallverarbeitung
31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung","10.20
3.10.1
9.1.1.2","0
2.6",Hückelhoven,BR Köln,"0296414
0137341",Heinsberg,40.0
2224656,AUNDE Achter & Ebels GmbH,Indirekteinleitung,"38 Textilherstellung, Textilveredlung",10.23,0,Mönchengladbach,BR Düsseldorf,0017332,M_nchengladbach,38.0
22230496,Bommes,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Mönchengladbach,Stadt Mönchengladbach,,M_nchengladbach,40.0
22230493,FSP Frischsaft Produktionsges.,Indirekteinleitung,3 Herstellung von Nahrungsmitteln und Futtermitteln,7.34.2,6.4.b.ii,Mönchengladbach,Stadt Mönchengladbach,9020918,M_nchengladbach,3.0
22230460,Gesellschaft für Metallveredlung,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,0,Mönchengladbach,Stadt Mönchengladbach,0009811,M_nchengladbach,40.0
22230494,Hahn,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Mönchengladbach,Stadt Mönchengladbach,9003283,M_nchengladbach,40.0
2224861,Heinz Gothe GmbH & Co. KG,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",3.10.1,"0
2.6",Mönchengladbach,BR Düsseldorf,0828275,M_nchengladbach,40.0
22223723,Junkers  Müllers GmbH,Indirekteinleitung,"38 Textilherstellung, Textilveredlung",10.23,0,Mönchengladbach,BR Düsseldorf,0225349,M_nchengladbach,38.0
22230318,Klip-Comet,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Mönchengladbach,Stadt Mönchengladbach,,M_nchengladbach,40.0
22230291,Lindström GmbH,Indirekteinleitung,55 Wäschereien,,,Mönchengladbach,Stadt Mönchengladbach,,M_nchengladbach,55.0
22230299,Lorenz & Lihn Obst-Edel-Erzeugnisse,Indirekteinleitung,3 Herstellung von Nahrungsmitteln und Futtermitteln,,,Mönchengladbach,Stadt Mönchengladbach,,M_nchengladbach,3.0
22230499,Niederrheinische Getränke Industrie,Indirekteinleitung,3 Herstellung von Nahrungsmitteln und Futtermitteln,,,Mönchengladbach,Stadt Mönchengladbach,,M_nchengladbach,3.0
22230312,QMP Metal Powders GmbH,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",3.23,0,Mönchengladbach,Stadt Mönchengladbach,9002577,M_nchengladbach,40.0
22230287,Reimann u. Carl,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Mönchengladbach,Stadt Mönchengladbach,,M_nchengladbach,40.0
22230489,Reiners & Fürst,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Mönchengladbach,Stadt Mönchengladbach,,M_nchengladbach,40.0
22230319,Rheinische Formblech,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Mönchengladbach,Stadt Mönchengladbach,9021377,M_nchengladbach,40.0
2224727,Rhenus Lub GmbH & Co. KG,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung
31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung",4.5,4.1,Mönchengladbach,BR Düsseldorf,0466543,M_nchengladbach,40.0
22230314,Troost,Indirekteinleitung,55 Wäschereien,,,Mönchengladbach,Stadt Mönchengladbach,,M_nchengladbach,55.0
22230316,Trützschler,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Mönchengladbach,Stadt Mönchengladbach,,M_nchengladbach,40.0
22230491,TSB - Tiefdruck - Schwann-Bagel,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung
53 Fotografische Prozesse (Silberhalogenid-Fotografie)",5.1.1.1,6.7,Mönchengladbach,Stadt Mönchengladbach,0330579,M_nchengladbach,40.0
2227806,Tuchfabrik Willy Schmitz GmbH & Co.KG,Indirekteinleitung,"38 Textilherstellung, Textilveredlung",10.23,0,Mönchengladbach,BR Düsseldorf,0025446,M_nchengladbach,38.0
22230320,Ungricht,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Mönchengladbach,Stadt Mönchengladbach,,M_nchengladbach,40.0
22223667,UNGRICHT GMBH + CO KG,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung","9.3.2
3.10.1
3.10.2","0
2.6",Mönchengladbach,BR Düsseldorf,9999086,M_nchengladbach,40.0
2222082,Aalberts Surface Treatment GmbH,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung","3.10.1
9.3.2.30","0
2.6",Kerpen,BR Köln,0302077,Rhein_Erft_Kreis,40.0
362641,Anlage 1.1: Betankung+NFZ-Waschhalle,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung
49 Mineralölhaltiges Abwasser",,0,Frechen,Rhein-Erft-Kreis,0399381,Rhein_Erft_Kreis,40.0
2222320,DOM Sicherheitstechnik GmbH,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung","3.4.2
3.8.2",0,Brühl,BR Köln,0194422,Rhein_Erft_Kreis,40.0
362846,Elektromotorenreinigung,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Brühl,Rhein-Erft-Kreis,,Rhein_Erft_Kreis,40.0
362403,Emaillierung,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung
31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung
49 Mineralölhaltiges Abwasser",,,Bergheim,Rhein-Erft-Kreis,,Rhein_Erft_Kreis,40.0
36256,Emaillierwerk,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Bergheim,Rhein-Erft-Kreis,,Rhein_Erft_Kreis,40.0
362103,Fällungsanlage,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Kerpen,Rhein-Erft-Kreis,,Rhein_Erft_Kreis,40.0
362597,Galvanik,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Brühl,Rhein-Erft-Kreis,,Rhein_Erft_Kreis,40.0
362634,Indutec Umwelttechnik,,"40 Metallbearbeitung, Metallverarbeitung",,,Kerpen,Rhein-Erft-Kreis,,Rhein_Erft_Kreis,40.0
2222400,PARKMO Metalle & Edelmetalle GmbH,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",8.11.2.2,0,Hürth,BR Köln,9047297,Rhein_Erft_Kreis,40.0
