kreis,behoerde,amt,email,telefon,hinweis
Düren,Kreisverwaltung Düren,Amt für Bodenschutz und Wasserwirtschaft,amt66@kreis-dueren.de,02421 220,
Kreis Düren,Kreisverwaltung Düren,Amt für Bodenschutz und Wasserwirtschaft,amt66@kreis-dueren.de,02421 220,
Euskirchen,Kreisverwaltung Euskirchen,Untere Wasserbehörde,wasserwirtschaft@kreis-euskirchen.de,02251 15-0,
Kreis Euskirchen,Kreisverwaltung Euskirchen,Untere Wasserbehörde,wasserwirtschaft@kreis-euskirchen.de,02251 15-0,
Heinsberg,Kreisverwaltung Heinsberg,Amt für Umwelt und Verkehrsplanung,umweltamt@kreis-heinsberg.de,02452 13-0,
Kreis Heinsberg,Kreisverwaltung Heinsberg,Amt für Umwelt und Verkehrsplanung,umweltamt@kreis-heinsberg.de,02452 13-0,
Mönchengladbach,Stadt Mönchengladbach,Fachbereich Umwelt,umwelt@moenchengladbach.de,02161 25-0,
Stadt Mönchengladbach,Stadt Mönchengladbach,Fachbereich Umwelt,umwelt@moenchengladbach.de,02161 25-0,
Rhein-Erft-Kreis,Rhein-Erft-Kreis,Amt für Umweltschutz und Kreisentwicklung,umweltschutzamt@rhein-erft-kreis.de,02271 83-0,
Rhein-Kreis Neuss,Rhein-Kreis Neuss,Amt für Umweltschutz,umwelt@rhein-kreis-neuss.de,02181 601-0,
Städteregion Aachen,Städteregion Aachen,A 66 - Umweltamt,umweltamt@staedteregion-aachen.de,0241 5198-0,
